Date,Speaker,timetype,time,contents,emotions,token
2020-08-05,익명,AM,08:36:36,20학번새내기가인사드립니다!!!!!!!,Detecting,"['학번', '새내', '기가', '인사']"
2020-08-06,꼬부기,AM,07:38:29,그럼다음시간에봅시다!!,기쁨,"['다음', '시간']"
2020-08-06,꼬부기,AM,07:16:49,아니요...,슬픔,[]
2020-08-06,지성,AM,05:18:11,다음모임장소는어디인가요,Detecting,"['다음', '모임', '장소']"
2020-08-06,지성,AM,07:18:00,저는못내겠습니다만?,슬픔,[]
2020-08-06,꼬부기,AM,07:19:27,조율해봐요!!,기쁨,['조율']
2020-08-05,익명,AM,08:37:23,화학과20학번김철수입니다악!!,기쁨,"['화학과', '학번', '김철수', '악']"
2020-08-05,이상해씨,AM,08:29:21,다들반갑습니다,집중,['다']
2020-08-06,꼬부기,AM,07:17:37,다음주월요일에뵙겠습니다!,기쁨,"['다음주', '월요일']"
2020-08-06,지성,AM,07:22:09,....알겠습니다,슬픔,[]
2020-10-27,이상해씨,PM,01:18:05,하하,기쁨,[]
2020-08-05,지성,AM,08:45:49,저는6시이후가좋을것같습니다,Detecting,['이후']
2020-08-06,꼬부기,AM,07:17:59,흠흠,놀람,[]
2020-08-06,이상해씨,AM,07:21:22,한분이좀많이드십니다,화남,[]
2020-08-06,이상해씨,AM,07:14:34,참가비있습니다,기쁨,['참가비']
2020-10-27,지성,PM,01:22:43,책에둘러쌓인기분이란...,집중,"['책', '기분']"
2020-08-06,이상해씨,AM,07:15:02,네있읍니다,기쁨,[]
2020-08-05,이상해씨,AM,08:43:09,우리다음모임은언제가좋을까요?,슬픔,"['다음', '모임']"
2020-08-06,꼬부기,AM,07:20:51,아니얼마나먹으면..두당25000이나오는거죠?,경멸,['당']
2020-08-05,이상해씨,AM,08:34:32,청춘이뭔지알게해주었습니당^^~♡울었어요,슬픔,"['청춘', '무엇']"
2020-08-06,이상해씨,AM,07:19:51,여러분들식비만두당25000입니다적자예요,화남,"['식비', '만두', '당', '적자']"
2020-08-05,꼬부기,AM,08:33:02,다들어떤장르좋아하시나요?,놀람,['장르']
2020-09-28,이상해씨,AM,07:03:22,ㅎㅇ,집중,[]
2020-08-05,익명,AM,08:42:33,종이여자라는책재밌게봤습니다선배님!,Detecting,"['종이', '여자', '책', '선배']"
2020-08-06,이상해씨,AM,07:15:30,참가비10000원불참비20000원,집중,"['참가비', '원', '불참', '비']"
2020-08-05,꼬부기,AM,08:26:29,안녕하세요,기쁨,['안녕']
2020-09-28,이상해씨,AM,07:05:36,ㅎㅇ,Detecting,[]
2020-08-05,이상해씨,AM,08:42:44,어그래요^^,Detecting,[]
2020-08-06,이상해씨,AM,05:18:40,신도서관1층로비입니다^^,집중,"['신도', '서관', '층', '로비']"
